id,name,acronym
878,"Primary somatosensory area, mouth, layer 1",SSp-m1
657,"Primary somatosensory area, mouth, layer 2/3",SSp-m2/3
950,"Primary somatosensory area, mouth, layer 4",SSp-m4
974,"Primary somatosensory area, mouth, layer 5",SSp-m5
1102,"Primary somatosensory area, mouth, layer 6a",SSp-m6a
2,"Primary somatosensory area, mouth, layer 6b",SSp-m6b
369,"Primary somatosensory area, upper limb",SSp-ul
450,"Primary somatosensory area, upper limb, layer 1",SSp-ul1
854,"Primary somatosensory area, upper limb, layer 2/3",SSp-ul2/3
577,"Primary somatosensory area, upper limb, layer 4",SSp-ul4
625,"Primary somatosensory area, upper limb, layer 5",SSp-ul5
945,"Primary somatosensory area, upper limb, layer 6a",SSp-ul6a
1026,"Primary somatosensory area, upper limb, layer 6b",SSp-ul6b
361,"Primary somatosensory area, trunk",SSp-tr
1006,"Primary somatosensory area, trunk, layer 1",SSp-tr1
670,"Primary somatosensory area, trunk, layer 2/3",SSp-tr2/3
1086,"Primary somatosensory area, trunk, layer 4",SSp-tr4
1111,"Primary somatosensory area, trunk, layer 5",SSp-tr5
9,"Primary somatosensory area, trunk, layer 6a",SSp-tr6a
461,"Primary somatosensory area, trunk, layer 6b",SSp-tr6b
378,Supplemental somatosensory area,SSs
873,"Supplemental somatosensory area, layer 1",SSs1
806,"Supplemental somatosensory area, layer 2/3",SSs2/3
1035,"Supplemental somatosensory area, layer 4",SSs4
1090,"Supplemental somatosensory area, layer 5",SSs5
862,"Supplemental somatosensory area, layer 6a",SSs6a
893,"Supplemental somatosensory area, layer 6b",SSs6b
44,Infralimbic area,ILA
707,"Infralimbic area, layer 1",ILA1
747,"Infralimbic area, layer 2",ILA2
556,"Infralimbic area, layer 2/3",ILA2/3
827,"Infralimbic area, layer 5",ILA5
1054,"Infralimbic area, layer 6a",ILA6a
1081,"Infralimbic area, layer 6b",ILA6b
1057,Gustatory areas,GU
36,"Gustatory areas, layer 1",GU1
180,"Gustatory areas, layer 2/3",GU2/3
148,"Gustatory areas, layer 4",GU4
187,"Gustatory areas, layer 5",GU5
638,"Gustatory areas, layer 6a",GU6a
662,"Gustatory areas, layer 6b",GU6b
677,Visceral area,VISC
897,"Visceral area, layer 1",VISC1
1106,"Visceral area, layer 2/3",VISC2/3
1010,"Visceral area, layer 4",VISC4
1058,"Visceral area, layer 5",VISC5
857,"Visceral area, layer 6a",VISC6a
849,"Visceral area, layer 6b",VISC6b
247,Auditory areas,AUD
1011,Dorsal auditory area,AUDd
527,"Dorsal auditory area, layer 1",AUDd1
600,"Dorsal auditory area, layer 2/3",AUDd2/3
678,"Dorsal auditory area, layer 4",AUDd4
252,"Dorsal auditory area, layer 5",AUDd5
156,"Dorsal auditory area, layer 6a",AUDd6a
243,"Dorsal auditory area, layer 6b",AUDd6b
1002,Primary auditory area,AUDp
735,"Primary auditory area, layer 1",AUDp1
251,"Primary auditory area, layer 2/3",AUDp2/3
816,"Primary auditory area, layer 4",AUDp4
847,"Primary auditory area, layer 5",AUDp5
954,"Primary auditory area, layer 6a",AUDp6a
1005,"Primary auditory area, layer 6b",AUDp6b
1027,Posterior auditory area,AUDpo
696,"Posterior auditory area, layer 1",AUDpo1
643,"Posterior auditory area, layer 2/3",AUDpo2/3
759,"Posterior auditory area, layer 4",AUDpo4
791,"Posterior auditory area, layer 5",AUDpo5
249,"Posterior auditory area, layer 6a",AUDpo6a
456,"Posterior auditory area, layer 6b",AUDpo6b
1018,Ventral auditory area,AUDv
959,"Ventral auditory area, layer 1",AUDv1
755,"Ventral auditory area, layer 2/3",AUDv2/3
990,"Ventral auditory area, layer 4",AUDv4
1023,"Ventral auditory area, layer 5",AUDv5
520,"Ventral auditory area, layer 6a",AUDv6a
598,"Ventral auditory area, layer 6b",AUDv6b
669,Visual areas,VIS
801,"Visual areas, layer 1",VIS1
561,"Visual areas, layer 2/3",VIS2/3
913,"Visual areas, layer 4",VIS4
937,"Visual areas, layer 5",VIS5
457,"Visual areas, layer 6a",VIS6a
497,"Visual areas, layer 6b",VIS6b
402,Anterolateral visual area,VISal
1074,"Anterolateral visual area, layer 1",VISal1
905,"Anterolateral visual area, layer 2/3",VISal2/3
1114,"Anterolateral visual area, layer 4",VISal4
233,"Anterolateral visual area, layer 5",VISal5
601,"Anterolateral visual area, layer 6a",VISal6a
649,"Anterolateral visual area, layer 6b",VISal6b
394,Anteromedial visual area,VISam
281,"Anteromedial visual area, layer 1",VISam1
1066,"Anteromedial visual area, layer 2/3",VISam2/3
401,"Anteromedial visual area, layer 4",VISam4
433,"Anteromedial visual area, layer 5",VISam5
1046,"Anteromedial visual area, layer 6a",VISam6a
441,"Anteromedial visual area, layer 6b",VISam6b
409,Lateral visual area,VISl
421,"Lateral visual area, layer 1",VISl1
973,"Lateral visual area, layer 2/3",VISl23
573,"Lateral visual area, layer 4",VISl4
613,"Lateral visual area, layer 5",VISl5
74,"Lateral visual area, layer 6a",VISl6a
121,"Lateral visual area, layer 6b",VISl6b
385,Primary visual area,VISp
593,"Primary visual area, layer 1",VISp1
821,"Primary visual area, layer 2/3",VISp2/3
721,"Primary visual area, layer 4",VISp4
778,"Primary visual area, layer 5",VISp5
33,"Primary visual area, layer 6a",VISp6a
305,"Primary visual area, layer 6b",VISp6b
425,Posterolateral visual area,VISpl
750,"Posterolateral visual area, layer 1",VISpl1
269,"Posterolateral visual area, layer 2/3",VISpl2/3
869,"Posterolateral visual area, layer 4",VISpl4
902,"Posterolateral visual area, layer 5",VISpl5
377,"Posterolateral visual area, layer 6a",VISpl6a
393,"Posterolateral visual area, layer 6b",VISpl6b
533,posteromedial visual area,VISpm
805,"posteromedial visual area, layer 1",VISpm1
41,"posteromedial visual area, layer 2/3",VISpm2/3
501,"posteromedial visual area, layer 4",VISpm4
565,"posteromedial visual area, layer 5",VISpm5
257,"posteromedial visual area, layer 6a",VISpm6a
469,"posteromedial visual area, layer 6b",VISpm6b
31,Anterior cingulate area,ACA
572,"Anterior cingulate area, layer 1",ACA1
1053,"Anterior cingulate area, layer 2/3",ACA2/3
739,"Anterior cingulate area, layer 5",ACA5
179,"Anterior cingulate area, layer 6a",ACA6a
227,"Anterior cingulate area, layer 6b",ACA6b
39,"Anterior cingulate area, dorsal part",ACAd
935,"Anterior cingulate area, dorsal part, layer 1",ACAd1
211,"Anterior cingulate area, dorsal part, layer 2/3",ACAd2/3
1015,"Anterior cingulate area, dorsal part, layer 5",ACAd5
919,"Anterior cingulate area, dorsal part, layer 6a",ACAd6a
927,"Anterior cingulate area, dorsal part, layer 6b",ACAd6b
48,"Anterior cingulate area, ventral part",ACAv
588,"Anterior cingulate area, ventral part, layer 1",ACAv1
296,"Anterior cingulate area, ventral part, layer 2/3",ACAv2/3
772,"Anterior cingulate area, ventral part, layer 5",ACAv5
810,"Anterior cingulate area, ventral part, 6a",ACAv6a
819,"Anterior cingulate area, ventral part, 6b",ACAv6b
972,Prelimbic area,PL
171,"Prelimbic area, layer 1",PL1
195,"Prelimbic area, layer 2",PL2
304,"Prelimbic area, layer 2/3",PL2/3
363,"Prelimbic area, layer 5",PL5
84,"Prelimbic area, layer 6a",PL6a
132,"Prelimbic area, layer 6b",PL6b
714,Orbital area,ORB
264,"Orbital area, layer 1",ORB1
492,"Orbital area, layer 2/3",ORB2/3
352,"Orbital area, layer 5",ORB5
476,"Orbital area, layer 6a",ORB6a
516,"Orbital area, layer 6b",ORB6b
723,"Orbital area, lateral part",ORBl
448,"Orbital area, lateral part, layer 1",ORBl1
412,"Orbital area, lateral part, layer 2/3",ORBl2/3
630,"Orbital area, lateral part, layer 5",ORBl5
440,"Orbital area, lateral part, layer 6a",ORBl6a
488,"Orbital area, lateral part, layer 6b",ORBl6b
731,"Orbital area, medial part",ORBm
484,"Orbital area, medial part, layer 1",ORBm1
524,"Orbital area, medial part, layer 2",ORBm2
582,"Orbital area, medial part, layer 2/3",ORBm2/3
620,"Orbital area, medial part, layer 5",ORBm5
910,"Orbital area, medial part, layer 6a",ORBm6a
738,"Orbital area, ventral part",ORBv
746,"Orbital area, ventrolateral part",ORBvl
969,"Orbital area, ventrolateral part, layer 1",ORBvl1
288,"Orbital area, ventrolateral part, layer 2/3",ORBvl2/3
1125,"Orbital area, ventrolateral part, layer 5",ORBvl5
608,"Orbital area, ventrolateral part, layer 6a",ORBvl6a
680,"Orbital area, ventrolateral part, layer 6b",ORBvl6b
95,Agranular insular area,AI
104,"Agranular insular area, dorsal part",AId
996,"Agranular insular area, dorsal part, layer 1",AId1
328,"Agranular insular area, dorsal part, layer 2/3",AId2/3
1101,"Agranular insular area, dorsal part, layer 5",AId5
783,"Agranular insular area, dorsal part, layer 6a",AId6a
831,"Agranular insular area, dorsal part, layer 6b",AId6b
111,"Agranular insular area, posterior part",AIp
120,"Agranular insular area, posterior part, layer 1",AIp1
163,"Agranular insular area, posterior part, layer 2/3",AIp2/3
344,"Agranular insular area, posterior part, layer 5",AIp5
314,"Agranular insular area, posterior part, layer 6a",AIp6a
355,"Agranular insular area, posterior part, layer 6b",AIp6b
119,"Agranular insular area, ventral part",AIv
704,"Agranular insular area, ventral part, layer 1",AIv1
694,"Agranular insular area, ventral part, layer 2/3",AIv2/3
800,"Agranular insular area, ventral part, layer 5",AIv5
675,"Agranular insular area, ventral part, layer 6a",AIv6a
699,"Agranular insular area, ventral part, layer 6b",AIv6b
254,Retrosplenial area,RSP
894,"Retrosplenial area, lateral agranular part",RSPagl
671,"Retrosplenial area, lateral agranular part, layer 1",RSPagl1
965,"Retrosplenial area, lateral agranular part, layer 2/3",RSPagl2/3
774,"Retrosplenial area, lateral agranular part, layer 5",RSPagl5
906,"Retrosplenial area, lateral agranular part, layer 6a",RSPagl6a
279,"Retrosplenial area, lateral agranular part, layer 6b",RSPagl6b
879,"Retrosplenial area, dorsal part",RSPd
442,"Retrosplenial area, dorsal part, layer 1",RSPd1
434,"Retrosplenial area, dorsal part, layer 2/3",RSPd2/3
545,"Retrosplenial area, dorsal part, layer 4",RSPd4
610,"Retrosplenial area, dorsal part, layer 5",RSPd5
274,"Retrosplenial area, dorsal part, layer 6a",RSPd6a
330,"Retrosplenial area, dorsal part, layer 6b",RSPd6b
886,"Retrosplenial area, ventral part",RSPv
542,"Retrosplenial area, ventral part, layer 1",RSPv1
606,"Retrosplenial area, ventral part, layer 2",RSPv2
430,"Retrosplenial area, ventral part, layer 2/3",RSPv2/3
687,"Retrosplenial area, ventral part, layer 5",RSPv5
590,"Retrosplenial area, ventral part, layer 6a",RSPv6a
622,"Retrosplenial area, ventral part, layer 6b",RSPv6b
22,Posterior parietal association areas,PTLp
532,"Posterior parietal association areas, layer 1",PTLp1
241,"Posterior parietal association areas, layer 2/3",PTLp2/3
635,"Posterior parietal association areas, layer 4",PTLp4
683,"Posterior parietal association areas, layer 5",PTLp5
308,"Posterior parietal association areas, layer 6a",PTLp6a
340,"Posterior parietal association areas, layer 6b",PTLp6b
541,Temporal association areas,TEa
97,"Temporal association areas, layer 1",TEa1
1127,"Temporal association areas, layer 2/3",TEa2/3
234,"Temporal association areas, layer 4",TEa4
289,"Temporal association areas, layer 5",TEa5
729,"Temporal association areas, layer 6a",TEa6a
786,"Temporal association areas, layer 6b",TEa6b
922,Perirhinal area,PERI
335,"Perirhinal area, layer 6a",PERI6a
368,"Perirhinal area, layer 6b",PERI6b
540,"Perirhinal area, layer 1",PERI1
692,"Perirhinal area, layer 5",PERI5
888,"Perirhinal area, layer 2/3",PERI2/3
895,Ectorhinal area,ECT
836,Ectorhinal area/Layer 1,ECT1
427,Ectorhinal area/Layer 2/3,ECT2/3
988,Ectorhinal area/Layer 5,ECT5
977,Ectorhinal area/Layer 6a,ECT6a
1045,Ectorhinal area/Layer 6b,ECT6b
698,Olfactory areas,OLF
507,Main olfactory bulb,MOB
212,"Main olfactory bulb, glomerular layer",MOBgl
220,"Main olfactory bulb, granule layer",MOBgr
228,"Main olfactory bulb, inner plexiform layer",MOBipl
236,"Main olfactory bulb, mitral layer",MOBmi
244,"Main olfactory bulb, outer plexiform layer",MOBopl
151,Accessory olfactory bulb,AOB
188,"Accessory olfactory bulb, glomerular layer",AOBgl
196,"Accessory olfactory bulb, granular layer",AOBgr
204,"Accessory olfactory bulb, mitral layer",AOBmi
159,Anterior olfactory nucleus,AON
167,"Anterior olfactory nucleus, dorsal part",AONd
175,"Anterior olfactory nucleus, external part",AONe
183,"Anterior olfactory nucleus, lateral part",AONl
191,"Anterior olfactory nucleus, medial part",AONm
199,"Anterior olfactory nucleus, posteroventral part",AONpv
160,"Anterior olfactory nucleus, layer 1",AON1
168,"Anterior olfactory nucleus, layer 2",AON2
589,Taenia tecta,TT
597,"Taenia tecta, dorsal part",TTd
297,"Taenia tecta, dorsal part, layers 1-4",TTd1-4
1034,"Taenia tecta, dorsal part, layer 1",TTd1
1042,"Taenia tecta, dorsal part, layer 2",TTd2
1050,"Taenia tecta, dorsal part, layer 3",TTd3
1059,"Taenia tecta, dorsal part, layer 4",TTd4
605,"Taenia tecta, ventral part",TTv
306,"Taenia tecta, ventral part, layers 1-3",TTv1-3
1067,"Taenia tecta, ventral part, layer 1",TTv1
1075,"Taenia tecta, ventral part, layer 2",TTv2
1082,"Taenia tecta, ventral part, layer 3",TTv3
814,Dorsal peduncular area,DP
496,"Dorsal peduncular area, layer 1",DP1
535,"Dorsal peduncular area, layer 2",DP2
360,"Dorsal peduncular area, layer 2/3",DP2/3
646,"Dorsal peduncular area, layer 5",DP5
267,"Dorsal peduncular area, layer 6a",DP6a
961,Piriform area,PIR
152,"Piriform area, layers 1-3",PIR1-3
276,"Piriform area, molecular layer",PIR1
284,"Piriform area, pyramidal layer",PIR2
291,"Piriform area, polymorph layer",PIR3
619,Nucleus of the lateral olfactory tract,NLOT
392,"Nucleus of the lateral olfactory tract, layers 1-3",NLOT1-3
260,"Nucleus of the lateral olfactory tract, molecular layer",NLOT1
268,"Nucleus of the lateral olfactory tract, pyramidal layer",NLOT2
1139,"Nucleus of the lateral olfactory tract, layer 3",NLOT3
631,Cortical amygdalar area,COA
639,"Cortical amygdalar area, anterior part",COAa
192,"Cortical amygdalar area, anterior part, layer 1",COAa1
200,"Cortical amygdalar area, anterior part, layer 2",COAa2
208,"Cortical amygdalar area, anterior part, layer 3",COAa3
647,"Cortical amygdalar area, posterior part",COAp
655,"Cortical amygdalar area, posterior part, lateral zone",COApl
584,"Cortical amygdalar area, posterior part, lateral zone, layers 1-2",COApl1-2
376,"Cortical amygdalar area, posterior part, lateral zone, layers 1-3",COApl1-3
216,"Cortical amygdalar area, posterior part, lateral zone, layer 1",COApl1
224,"Cortical amygdalar area, posterior part, lateral zone, layer 2",COApl2
232,"Cortical amygdalar area, posterior part, lateral zone, layer 3",COApl3
663,"Cortical amygdalar area, posterior part, medial zone",COApm
592,"Cortical amygdalar area, posterior part, medial zone, layers 1-2",COApm1-2
383,"Cortical amygdalar area, posterior part, medial zone, layers 1-3",COApm1-3
240,"Cortical amygdalar area, posterior part, medial zone, layer 1",COApm1
248,"Cortical amygdalar area, posterior part, medial zone, layer 2",COApm2
256,"Cortical amygdalar area, posterior part, medial zone, layer 3",COApm3
788,Piriform-amygdalar area,PAA
400,"Piriform-amygdalar area, layers 1-3",PAA1-3
408,"Piriform-amygdalar area, molecular layer",PAA1
416,"Piriform-amygdalar area, pyramidal layer",PAA2
424,"Piriform-amygdalar area, polymorph layer",PAA3
566,Postpiriform transition area,TR
517,"Postpiriform transition area, layers 1-3",TR1-3
1140,"Postpiriform transition area, layers 1",TR1
1141,"Postpiriform transition area, layers 2",TR2
1142,"Postpiriform transition area, layers 3",TR3
1089,Hippocampal formation,HPF
1080,Hippocampal region,HIP
375,Ammon's horn,CA
382,Field CA1,CA1
391,"Field CA1, stratum lacunosum-moleculare",CA1slm
399,"Field CA1, stratum oriens",CA1so
407,"Field CA1, pyramidal layer",CA1sp
415,"Field CA1, stratum radiatum",CA1sr
423,Field CA2,CA2
431,"Field CA2, stratum lacunosum-moleculare",CA2slm
438,"Field CA2, stratum oriens",CA2so
446,"Field CA2, pyramidal layer",CA2sp
454,"Field CA2, stratum radiatum",CA2sr
463,Field CA3,CA3
471,"Field CA3, stratum lacunosum-moleculare",CA3slm
479,"Field CA3, stratum lucidum",CA3slu
486,"Field CA3, stratum oriens",CA3so
495,"Field CA3, pyramidal layer",CA3sp
504,"Field CA3, stratum radiatum",CA3sr
726,Dentate gyrus,DG
10703,"Dentate gyrus, molecular layer",DG-mo
10704,"Dentate gyrus, polymorph layer",DG-po
632,"Dentate gyrus, granule cell layer",DG-sg
10702,"Dentate gyrus, subgranular zone",DG-sgz
734,Dentate gyrus crest,DGcr
742,"Dentate gyrus crest, molecular layer",DGcr-mo
751,"Dentate gyrus crest, polymorph layer",DGcr-po
758,"Dentate gyrus crest, granule cell layer",DGcr-sg
766,Dentate gyrus lateral blade,DGlb
775,"Dentate gyrus lateral blade, molecular layer",DGlb-mo
782,"Dentate gyrus lateral blade, polymorph layer",DGlb-po
790,"Dentate gyrus lateral blade, granule cell layer",DGlb-sg
799,Dentate gyrus medial blade,DGmb
807,"Dentate gyrus medial blade, molecular layer",DGmb-mo
815,"Dentate gyrus medial blade, polymorph layer",DGmb-po
823,"Dentate gyrus medial blade, granule cell layer",DGmb-sg
982,Fasciola cinerea,FC
19,Induseum griseum,IG
822,Retrohippocampal region,RHP
909,Entorhinal area,ENT
918,"Entorhinal area, lateral part",ENTl
1121,"Entorhinal area, lateral part, layer 1",ENTl1
20,"Entorhinal area, lateral part, layer 2",ENTl2
999,"Entorhinal area, lateral part, layer 2/3",ENTl2/3
715,"Entorhinal area, lateral part, layer 2a",ENTl2a
764,"Entorhinal area, lateral part, layer 2b",ENTl2b
52,"Entorhinal area, lateral part, layer 3",ENTl3
92,"Entorhinal area, lateral part, layer 4",ENTl4
312,"Entorhinal area, lateral part, layer 4/5",ENTl4/5
139,"Entorhinal area, lateral part, layer 5",ENTl5
387,"Entorhinal area, lateral part, layer 5/6",ENTl5/6
28,"Entorhinal area, lateral part, layer 6a",ENTl6a
60,"Entorhinal area, lateral part, layer 6b",ENTl6b
926,"Entorhinal area, medial part, dorsal zone",ENTm
526,"Entorhinal area, medial part, dorsal zone, layer 1",ENTm1
543,"Entorhinal area, medial part, dorsal zone, layer 2",ENTm2
468,"Entorhinal area, medial part, dorsal zone, layer 2a",ENTm2a
508,"Entorhinal area, medial part, dorsal zone, layer 2b",ENTm2b
664,"Entorhinal area, medial part, dorsal zone, layer 3",ENTm3
712,"Entorhinal area, medial part, dorsal zone, layer 4",ENTm4
727,"Entorhinal area, medial part, dorsal zone, layer 5",ENTm5
550,"Entorhinal area, medial part, dorsal zone, layer 5/6",ENTm5/6
743,"Entorhinal area, medial part, dorsal zone, layer 6",ENTm6
934,"Entorhinal area, medial part, ventral zone",ENTmv
259,"Entorhinal area, medial part, ventral zone, layer 1",ENTmv1
324,"Entorhinal area, medial part, ventral zone, layer 2",ENTmv2
371,"Entorhinal area, medial part, ventral zone, layer 3",ENTmv3
419,"Entorhinal area, medial part, ventral zone, layer 4",ENTmv4
1133,"Entorhinal area, medial part, ventral zone, layer 5/6",ENTmv5/6
843,Parasubiculum,PAR
10693,"Parasubiculum, layer 1",PAR1
10694,"Parasubiculum, layer 2",PAR2
10695,"Parasubiculum, layer 3",PAR3
1037,Postsubiculum,POST
10696,"Postsubiculum, layer 1",POST1
10697,"Postsubiculum, layer 2",POST2
10698,"Postsubiculum, layer 3",POST3
1084,Presubiculum,PRE
10699,"Presubiculum, layer 1",PRE1
10700,"Presubiculum, layer 2",PRE2
10701,"Presubiculum, layer 3",PRE3
502,Subiculum,SUB
509,"Subiculum, dorsal part",SUBd
829,"Subiculum, dorsal part, molecular layer",SUBd-m
845,"Subiculum, dorsal part, pyramidal layer",SUBd-sp
837,"Subiculum, dorsal part, stratum radiatum",SUBd-sr
518,"Subiculum, ventral part",SUBv
853,"Subiculum, ventral part, molecular layer",SUBv-m
870,"Subiculum, ventral part, pyramidal layer",SUBv-sp
861,"Subiculum, ventral part, stratum radiatum",SUBv-sr
703,Cortical subplate,CTXsp
16,"Layer 6b, isocortex",6b
583,Claustrum,CLA
942,Endopiriform nucleus,EP
952,"Endopiriform nucleus, dorsal part",EPd
966,"Endopiriform nucleus, ventral part",EPv
131,Lateral amygdalar nucleus,LA
295,Basolateral amygdalar nucleus,BLA
303,"Basolateral amygdalar nucleus, anterior part",BLAa
311,"Basolateral amygdalar nucleus, posterior part",BLAp
451,"Basolateral amygdalar nucleus, ventral part",BLAv
319,Basomedial amygdalar nucleus,BMA
327,"Basomedial amygdalar nucleus, anterior part",BMAa
334,"Basomedial amygdalar nucleus, posterior part",BMAp
780,Posterior amygdalar nucleus,PA
623,Cerebral nuclei,CNU
477,Striatum,STR
485,Striatum dorsal region,STRd
672,Caudoputamen,CP
493,Striatum ventral region,STRv
56,Nucleus accumbens,ACB
998,Fundus of striatum,FS
754,Olfactory tubercle,OT
481,Islands of Calleja,isl
489,Major island of Calleja,islm
144,"Olfactory tubercle, layers 1-3",OT1-3
458,"Olfactory tubercle, molecular layer",OT1
465,"Olfactory tubercle, pyramidal layer",OT2
473,"Olfactory tubercle, polymorph layer",OT3
275,Lateral septal complex,LSX
242,Lateral septal nucleus,LS
250,"Lateral septal nucleus, caudal (caudodorsal) part",LSc
258,"Lateral septal nucleus, rostral (rostroventral) part",LSr
266,"Lateral septal nucleus, ventral part",LSv
310,Septofimbrial nucleus,SF
333,Septohippocampal nucleus,SH
278,Striatum-like amygdalar nuclei,sAMY
23,Anterior amygdalar area,AAA
292,Bed nucleus of the accessory olfactory tract,BA
536,Central amygdalar nucleus,CEA
544,"Central amygdalar nucleus, capsular part",CEAc
551,"Central amygdalar nucleus, lateral part",CEAl
559,"Central amygdalar nucleus, medial part",CEAm
1105,Intercalated amygdalar nucleus,IA
403,Medial amygdalar nucleus,MEA
411,"Medial amygdalar nucleus, anterodorsal part",MEAad
418,"Medial amygdalar nucleus, anteroventral part",MEAav
426,"Medial amygdalar nucleus, posterodorsal part",MEApd
472,"Medial amygdalar nucleus, posterodorsal part, sublayer a",MEApd-a
480,"Medial amygdalar nucleus, posterodorsal part, sublayer b",MEApd-b
487,"Medial amygdalar nucleus, posterodorsal part, sublayer c",MEApd-c
435,"Medial amygdalar nucleus, posteroventral part",MEApv
803,Pallidum,PAL
818,"Pallidum, dorsal region",PALd
1022,"Globus pallidus, external segment",GPe
1031,"Globus pallidus, internal segment",GPi
835,"Pallidum, ventral region",PALv
342,Substantia innominata,SI
298,Magnocellular nucleus,MA
826,"Pallidum, medial region",PALm
904,Medial septal complex,MSC
564,Medial septal nucleus,MS
596,Diagonal band nucleus,NDB
581,Triangular nucleus of septum,TRS
809,"Pallidum, caudal region",PALc
351,Bed nuclei of the stria terminalis,BST
359,"Bed nuclei of the stria terminalis, anterior division",BSTa
537,"Bed nuclei of the stria terminalis, anterior division, anterolateral area",BSTal
498,"Bed nuclei of the stria terminalis, anterior division, anteromedial area",BSTam
505,"Bed nuclei of the stria terminalis, anterior division, dorsomedial nucleus",BSTdm
513,"Bed nuclei of the stria terminalis, anterior division, fusiform nucleus",BSTfu
546,"Bed nuclei of the stria terminalis, anterior division, juxtacapsular nucleus",BSTju
521,"Bed nuclei of the stria terminalis, anterior division, magnocellular nucleus",BSTmg
554,"Bed nuclei of the stria terminalis, anterior division, oval nucleus",BSTov
562,"Bed nuclei of the stria terminalis, anterior division, rhomboid nucleus",BSTrh
529,"Bed nuclei of the stria terminalis, anterior division, ventral nucleus",BSTv
367,"Bed nuclei of the stria terminalis, posterior division",BSTp
569,"Bed nuclei of the stria terminalis, posterior division, dorsal nucleus",BSTd
578,"Bed nuclei of the stria terminalis, posterior division, principal nucleus",BSTpr
585,"Bed nuclei of the stria terminalis, posterior division, interfascicular nucleus",BSTif
594,"Bed nuclei of the stria terminalis, posterior division, transverse nucleus",BSTtr
602,"Bed nuclei of the stria terminalis, posterior division, strial extension",BSTse
287,Bed nucleus of the anterior commissure,BAC
512,Cerebellum,CB
528,Cerebellar cortex,CBX
645,Vermal regions,VERM
912,Lingula (I),LING
10707,"Lingula (I), molecular layer",LINGmo
10706,"Lingula (I), Purkinje layer",LINGpu
10705,"Lingula (I), granular layer",LINGgr
920,Central lobule,CENT
976,Lobule II,CENT2
10710,"Lobule II, molecular layer",CENT2mo
10709,"Lobule II, Purkinje layer",CENT2pu
10708,"Lobule II, granular layer",CENT2gr
984,Lobule III,CENT3
10713,"Lobule III, molecular layer",CENT3mo
10712,"Lobule III, Purkinje layer",CENT3pu
10711,"Lobule III, granular layer",CENT3gr
928,Culmen,CUL
992,Lobule IV,CUL4
10716,"Lobule IV, molecular layer",CUL4mo
10715,"Lobule IV, Purkinje layer",CUL4pu
10714,"Lobule IV, granular layer",CUL4gr
1001,Lobule V,CUL5
